partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank),interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
6300,20753,15,458,18352,2401,3086,0,0,0,0
6301,20764,18,533,18127,2637,3386,0,0,0,0
6302,20735,15,458,18268,2467,3044,0,0,0,0
6303,20775,16,524,18256,2519,3236,0,0,0,0
6304,20802,17,533,18371,2431,3144,0,0,0,0
6305,20597,16,409,18117,2480,3166,0,0,0,0
6306,20776,15,381,18473,2303,2932,0,0,0,0
6307,20759,18,574,18321,2438,3220,0,0,0,0
6308,20653,18,574,17999,2654,3348,0,0,0,0
6309,20835,11,574,18641,2194,2832,0,0,0,400
6310,20762,10,574,18850,1912,2491,0,0,0,515
6311,20755,12,699,18589,2166,2897,0,0,0,291
6312,20763,11,699,18753,2010,2627,0,0,0,641
6313,20722,14,491,18268,2454,3100,0,0,0,0
6314,20756,10,453,18683,2073,2668,0,0,0,360
6315,20807,13,430,18423,2384,3059,0,0,0,139
6316,20732,8,464,18902,1830,2326,0,0,0,576
6317,20710,16,464,18279,2431,3062,0,0,0,0
6318,20712,10,723,18612,2100,2643,0,0,0,363
6319,20720,12,723,18394,2326,2945,0,0,0,225
6320,20835,14,615,18373,2462,3108,0,0,0,0
6321,20685,11,615,18516,2169,2710,0,0,0,574
6322,20745,17,383,18316,2429,3100,0,0,0,0
6323,20743,16,439,18403,2340,3068,0,0,0,0
6324,20737,15,384,18217,2520,3126,0,0,0,0
6325,20651,16,464,18097,2554,3138,0,0,0,0
6326,20834,15,464,18418,2416,3086,0,0,0,0
6327,20587,13,575,18295,2292,2893,0,0,0,363
6328,20831,12,575,18581,2250,2865,0,0,0,259
6329,20941,20,529,18444,2497,3384,0,0,0,0
6330,20878,13,529,18538,2340,3018,0,0,0,0
6331,20730,16,500,18368,2362,3022,0,0,0,0
6332,20627,16,465,18158,2469,3148,0,0,0,0
6333,20704,15,513,18031,2673,3348,0,0,0,0
6334,20694,16,754,18105,2589,3274,0,0,0,0
6335,20736,14,754,18299,2437,3152,0,0,0,0
6336,20756,11,541,18677,2079,2651,0,0,0,353
6337,20733,15,569,18387,2346,2991,0,0,0,193
6338,20584,10,569,18328,2256,2738,0,0,0,322
6339,20928,13,541,18742,2186,2891,0,0,0,221
6340,20784,14,595,18417,2367,2986,0,0,0,0
6341,20679,17,543,18071,2608,3280,0,0,0,0
6342,20731,16,595,18269,2462,3260,0,0,0,0
6343,20710,8,638,18664,2046,2611,0,0,0,743
6344,20780,10,638,18466,2314,3030,0,0,0,188
6345,20794,16,436,18504,2290,2994,0,0,0,0
6346,20661,9,451,18481,2180,2678,0,0,0,292
6347,20756,10,529,18686,2070,2513,0,0,0,479
6348,20745,10,529,18746,1999,2527,0,0,0,607
6349,20723,12,602,18225,2498,3172,0,0,0,94
6350,20715,12,602,18320,2395,2976,0,0,0,182
6351,20860,20,487,18306,2554,3348,0,0,0,0
6352,20786,10,556,18698,2088,2695,0,0,0,415
6353,20780,10,479,18824,1956,2514,0,0,0,542
6354,20743,18,560,18123,2620,3278,0,0,0,0
6355,20826,14,560,18394,2432,3098,0,0,0,0
6356,20700,12,559,18328,2372,2982,0,0,0,0
6357,20836,18,559,18304,2532,3268,0,0,0,0
6358,20817,16,345,18333,2484,3122,0,0,0,0
6359,20738,13,406,18390,2348,2976,0,0,0,0
6360,20688,15,533,18315,2373,3048,0,0,0,0
6361,20707,18,668,17974,2733,3362,0,0,0,0
6362,20661,15,533,18251,2410,3046,0,0,0,0
6363,20847,14,501,18483,2364,3040,0,0,0,0
6364,20751,15,668,18266,2485,3202,0,0,0,0
6365,20753,17,759,18206,2547,3238,0,0,0,0
6366,20815,18,759,18066,2749,3552,0,0,0,0
6367,20761,17,583,18054,2707,3518,0,0,0,0
6368,20751,18,614,18217,2534,3176,0,0,0,0
6369,20837,19,485,18486,2351,3120,0,0,0,0
6370,20741,12,659,18392,2349,3040,0,0,0,0
6371,20675,14,659,17936,2739,3516,0,0,0,0
6372,20687,14,516,18409,2278,2890,0,0,0,0
6373,20768,20,413,18082,2686,3498,0,0,0,0
6374,20744,16,537,18275,2469,3206,0,0,0,0
6375,20709,14,537,18410,2299,2982,0,0,0,0
6376,20766,16,588,18375,2391,3072,0,0,0,0
6377,20698,18,419,18283,2415,3092,0,0,0,0
6378,20730,17,535,18324,2406,3116,0,0,0,0
6379,20706,16,715,18255,2451,3062,0,0,0,0
6380,20863,20,715,18148,2715,3582,0,0,0,0
6381,20692,17,426,18125,2567,3176,0,0,0,0
