partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
12164,9089,8,355,8099,990,1089,0,0,444,213
12165,9149,11,352,8014,1135,1292,0,0,486,0
12166,9054,14,352,7874,1180,1311,0,0,509,0
12167,9097,19,379,7664,1433,1862,0,0,0,0
12168,9054,18,379,7601,1453,1778,0,0,0,0
12169,9127,14,292,7913,1214,1545,0,0,0,171
12170,9005,9,356,8004,1001,1125,0,0,297,292
12171,9124,5,356,8298,826,928,0,0,501,229
12172,9071,11,325,7842,1229,1440,0,0,109,427
12173,9102,7,232,8223,879,974,0,0,537,175
12174,9059,8,270,8024,1035,1140,0,0,592,0
12175,9061,15,325,7765,1296,1680,0,0,0,96
12176,9041,17,323,7607,1434,1824,0,0,0,0
12177,9191,20,323,7580,1611,1972,0,0,0,0
12178,9141,7,275,8182,959,1063,0,0,671,0
12179,9092,9,293,8094,998,1108,0,0,538,0
12180,9079,9,293,8090,989,1117,0,0,609,0
12181,9130,11,240,7951,1179,1338,0,0,416,0
12182,9073,8,244,8175,898,984,0,0,658,0
12183,9090,10,256,8000,1090,1229,0,0,473,0
12184,9129,8,290,8233,896,1019,0,0,623,0
12185,9141,11,290,8022,1119,1251,0,0,425,0
12186,9046,11,240,7921,1125,1252,0,0,576,0
12187,9077,7,272,8131,946,1036,0,0,566,0
12188,9160,8,272,8270,890,988,0,0,624,0
12189,9134,11,328,8065,1069,1215,0,0,415,0
12190,9088,8,288,8045,1043,1150,0,0,462,0
12191,9131,8,240,8121,1010,1110,0,0,460,0
12192,9104,10,190,8148,956,1042,0,0,536,0
12193,9062,8,267,7995,1067,1169,0,0,655,0
12194,9143,9,186,8201,942,1056,0,0,582,0
12195,9092,9,224,8138,954,1060,0,0,558,0
12196,9056,8,336,8089,967,1061,0,0,711,0
